sample_id,cultivar,treatment,sample_no,timepoint,height_in_cm,yeb_length_in_cm,stem_diameter_in_cm,vegetative_fresh_weight_in_gm,vegetative_dry_weight_in_gm,no_of_tillers_pot,ability_to_be_filled
1stC15,15,Control,1,Timepoint 2,88.25,38.8,0.52,25,6.31,5,0.7476
1stT15,15,Treatment,1,Timepoint 2,70.6666666666667,31.714285714285705,0.35,14,5.5,12,0.607
1stC22,22,Control,1,Timepoint 2,88.1,42,0.5,14,5.6,6,0.6
2ndC22,22,Control,2,Timepoint 2,89.75,48,0.45,8,4,2,0.5
1stT22,22,Treatment,1,Timepoint 2,92.4,34.8,0.28,12,5.84,6,0.5133
2ndT22,22,Treatment,2,Timepoint 2,85.25,45,0.35,4,1.85,2,0.5375
1stC29,29,Control,1,Timepoint 2,92,54.5,0.55,17,13.46,2,0.20820000000000002
2ndC29,29,Control,2,Timepoint 2,97.25,57,0.5,20,15.48,2,0.226
1stT29,29,Treatment,1,Timepoint 2,66.33333333333329,39,0.26,4,2.3299999999999996,3,0.41750000000000004
2ndT29,29,Treatment,2,Timepoint 2,96.75,50.8,0.42000000000000004,12,6.7,5,0.4417
1stC30,30,Control,1,Timepoint 2,97.5,49.5,0.45,10,6.22,2,0.378
2ndC30,30,Control,2,Timepoint 2,68.5,42.3333333333333,0.3333333333333329,7,4.2,3,0.4
1stT30,30,Treatment,1,Timepoint 2,69,39.75,0.325,8,4.2,3,0.47500000000000003
2ndT30,30,Treatment,2,Timepoint 2,75,42.5,0.45,8,3.4699999999999998,3,0.5660000000000001
1stC32,32,Control,1,Timepoint 2,89.33333333333329,42,0.4,4,3.1,4,0.225
1stT32,32,Treatment,1,Timepoint 2,78.75,38.66666666666669,0.3,4,2.71,3,0.3225
